course_name,course_url,professor,enrollment_trend,grading_trend,review_1,review_2,review_3
AM 1,https://ucsbplat.com/curriculum/class/FALL%202025%2061200,Lisa Park,360/360,A|A,"The lectures feel very dense and taking notes from them can get tiring, but if you pay really good attention in section, you'll get everything you need from there. The three exams are take-home, and you have an entire weekend to do them. Easy way to fulfill the ETH requirement","Is really funny and her lectures are actually amazing if you're looking to gain real insight on Asian American history. Although I knew about some of the topics on her syllabus prior this class, I gained a much deeper understanding and I find myself reflecting and applying what I've learned on a daily basis. Overall really easy A too","She gave you the possible questions that will be on the exam and as long as you read, you will definitely get a good grade. She also gives out extra credits and candies on Halloween. Her lecture slides do not give much about what will be on the test. It is more about the readings."
AM 100,https://ucsbplat.com/curriculum/class/FALL%202025%2059360,Andrew Norris,3/15,A|A,"Opics: Hegel's Philosophy . POL I went to every lecture, took good notes, studied before every exam, etc. This man just likes to grade super hard for no reason and his class left me feeling very discouraged. Avoid if you can.","His classes are tough, but he is engaging and always willing to accommodate students for office hours. His lectures are so helpful and even though they're not mandatory, it's difficult to succeed without them. He is super self-deprecating but also clearly incredibly intelligent. Hard class but so rewarding.",Hard but so worth it.
AM 100,https://ucsbplat.com/curriculum/class/FALL%202025%2020107,Jen Martin,2/30,A|A,Requires one hour per week of in-depth analysis and discussion of applied critical thinking skills in environmental studies with the course instructor and completion of a related project.,"Very passionate about her lectures, but they weren't applicable. Her ability to pick TA's is awful, the worst i've had on campus. They're incompetent w/ superiority complexes, the way they are grading for lower div classes. Good luck getting your grades back until 2 days before final grades are due in gold, and the quarter is long over!",
AM 100,https://ucsbplat.com/curriculum/class/FALL%202025%2003756,Matthew Helgeson,3/10,A|A,Is one of the first difficult classes for chem e's. He does a pretty good job at tackling the class and occasionally makes a few errors but that is normal. Make sure to read the book and do the examples or you will have a tough time in the class.,"120A is a behemoth of a class, fluid dynamics is often some of the most technically difficult math you will see in your coursework, so I know that Professor Helgeson did his best with an already confusing and hard subject. I appreciated that he was willing to meet me for extra tutoring, because I really struggled in exam-taking for this class.","I personally am anti-differential equations, but I appreciate Professor Shell's diligence in making sure we understood the class content. He is very accessible during office hours and will give you the ""hot goss"" on professionalism and grad school during recitation."
AM 100,https://ucsbplat.com/curriculum/class/FALL%202025%2003756,Scott Shell,3/10,A|A,Is one of the first difficult classes for chem e's. He does a pretty good job at tackling the class and occasionally makes a few errors but that is normal. Make sure to read the book and do the examples or you will have a tough time in the class.,"120A is a behemoth of a class, fluid dynamics is often some of the most technically difficult math you will see in your coursework, so I know that Professor Helgeson did his best with an already confusing and hard subject. I appreciated that he was willing to meet me for extra tutoring, because I really struggled in exam-taking for this class.","I personally am anti-differential equations, but I appreciate Professor Shell's diligence in making sure we understood the class content. He is very accessible during office hours and will give you the ""hot goss"" on professionalism and grad school during recitation."
AM 118,https://ucsbplat.com/curriculum/class/FALL%202025%2061580,Alexander Cho,46/45,A|A,"Texts include literature, theatre, television, and film.",The class was actually really interesting and helped me learn a lot! While lectures weren't mandatory I highly suggest going to them since they helped me prep really well for the midterm and final. He began posting the slides online too. Graded on final + midterm + weekly quizzes + four mini reflection papers.,"He really values his students opinions, time, and hard work. The class itself is not very hard: 4 weekly assignments and you can to pick what weeks to do them, drops your two lowest quizzes, get cheat sheets for midterm/final"
AM 127,https://ucsbplat.com/curriculum/class/FALL%202025%2061572,Alexander Cho,45/45,A|A,"The assignments consist of weekly discussion board posts and readings, as well as two essays and participation. The workload and assignments were very easy and the class was a breath of fresh air","I would recommend him, his lectures are intriguing and the way he structures class makes it so your grade isn&#39;t depended on one of two things. I&#39;ve taken two of his classes, definitely have to read, but cna get away with skimming. It all comes down to a group project, weekly quizzes and a final paper.","This is Cho's first year teaching at UCSB and he's pretty great! Class was super interesting and great discussions in lecture. Readings can be long sometimes, but they're not horrible and aren't hard. Responds to emails fast. 40% participation (attendance and discussion boards), 20% quizzes based on lectures/readings, 15% midterm and 25% final."
AM 137,https://ucsbplat.com/curriculum/class/FALL%202025%2061432,Benjamin Zulueta,47/45,A|A,"Although the course could be organized better, it's truly the professors who care about their students that makes it worth it to attend class. He's also very reachable outside of class to answer questions and of course, assist you during office hours.",Zulueta is a great professor! I don't understand the hate. He tries really hard to connect with the class and offers many opportunities for participation points. It's not hard to get a good grade if you show up. I didn't do all of the readings but still succeeded. No midterm or final. Graded on 3 writing assignments and a final essay.,"Hard grader, very long and dense readings and the lectures were kinda hard to follow takes attendance"
AM 156,https://ucsbplat.com/curriculum/class/FALL%202025%2061499,John Park,44/45,A|A,"We examine the end of segregation, and review recurring patterns of race-based inequality.","Off poorly in Professor Park's class because I didn't cite readings. While I felt discouraged at first, I enjoyed his lectures and found the subject engaging. Once I went to his office hours I saw how easy it was to succeed if you do the readings for understanding. I ended up going from a B- to an A in the class.",
AM 160,https://ucsbplat.com/curriculum/class/FALL%202025%2061648,Pei-Te Lien,6/5,A|A,"Papers have literally no prompt but expect you to use all of the readings, and then grades harshly. Midterm was about the most specific things ever there's no way to remember from studying, and some things on it were literally taught at the lecture 4 days before.AVOID","Papers have literally no prompt but expect you to use all of the readings, and then grades harshly. Midterm was about the most specific things ever there's no way to remember from studying, and some things on it were literally taught at the lecture 4 days before.AVOID",
AM 18,https://ucsbplat.com/curriculum/class/FALL%202025%2041384,Clayton Nall,130/132,A|A,The role of congress and the president in policy formation and of the supreme court in interpreting the constitution.,"Doesn't seem to like teaching, and definitely doesn't like students. He's condescending, he's mean, and makes fun of you for asking a question. He won't allow computers in class, even for note taking. He seems angry all the time.","Year and it was tough! For a lower division prerequisite course, this class was unnecessarily difficult. Lots of reading from two required textbooks (about 1-2 long, multi-sectional chapters) for each class. Lectures are good but he only pulls from the readings for tests which are extremely nit-picky and specific. Wouldn't retake"
AM 2,https://ucsbplat.com/curriculum/class/FALL%202025%2001701,John Park,0/206,A|A,"He has a JD, try to keep up with his summarious lectures by doing all required readings.",2 midterms and 1 final which are all in person written essay exams. Pretty difficult class but worthwhile subject,"Off poorly in Professor Park's class because I didn't cite readings. While I felt discouraged at first, I enjoyed his lectures and found the subject engaging. Once I went to his office hours I saw how easy it was to succeed if you do the readings for understanding. I ended up going from a B- to an A in the class."
AM 2H,https://ucsbplat.com/curriculum/class/FALL%202025%2001800,John Park,0/10,A|A,Intended for highly motivated and well prepared students.,"He has a JD, try to keep up with his summarious lectures by doing all required readings.",
AM 31,https://ucsbplat.com/curriculum/class/FALL%202025%2059543,Pei-Te Lien,43/43,A|A,"Super nice and respectful lady&#8212;very accommodating. However, she's a bad lecturer/speaker and heavily weights midterm and final. Her grading is arbitrary and unclear. Beware she grades harshly if you don't follow her format. Not the worst but not the best. Don't be scared to take her if you have to but don't expect it to be great.",,
AM 38,https://ucsbplat.com/curriculum/class/FALL%202025%2020768,Josh Schimel,14/36,A|A,"ENV S 171 An examination of the key processes that regulate ecosystem productivity and function in terrestrial ecosystems. Specific foci include: plant- soil linkages including decomposition and nutrient supply, and the role of above- and below-ground community composition on element cycles.",Completion of all listed prerequisites with a grade of C- or better.,It's pretty dry but he's very passionate about the content.
AM 54,https://ucsbplat.com/curriculum/class/FALL%202025%2003731,Craig Rawlings,13/22,A|A,"Linear vector and function spaces, generalized fourier analysis, Sturm-Liouville theory, calculus of variations, and conformal mapping techniques.","Fantastic lectures! The best intro to sociology ever! If you can somehow take this course with Prof. Rawlings, you should!","@ Duke. From reviews below, if people's metric for who a good professor is, is how easy is to get an A and not how they teach, they go to the wrong school. Rawlings is so intelligent and kind. He's incredibly well read and shows so much interest in wanting everyone to suceed. The point of this class is to learn and he makes sure you do that."
AM 62,https://ucsbplat.com/curriculum/class/FALL%202025%2020529,Julie Maldonado,40/40,A|A,"Un-naturalizing Disasters: Risk, Vulnerability, and Resilience . ENV Course provides an understanding of different approaches to and meanings of disasters, and how people have faced disaster-related challenges in practical ways in a range of social, cultural, and environmental contexts. The course is designed to develop both critical analytical skills and hands-on problem solving skills.","Interesting topics brought up in class, and she's pretty understanding. But she still kind of expected a lot from us considering we're in the middle of a pandemic. she also forced us to buy her expensive book that she wrote, which never sits right with me.",
AM 73,https://ucsbplat.com/curriculum/class/FALL%202025%2020339,Summer Gray,38/40,A|A,"Professor Gray does a fantastic job at organizing this course in a way that if you put in the work, you are set to get a lot out of it while getting good grades. Lectures were very compelling. Would highly recommend!",Professor gray and her es 155 course. TAKE HER CLASSES! Im literally fangirling because she honestly is so knowledgable and such a great teacher I genuinely learned so much in her class. She knows her stuff and was able to make the class challenging and so interesting. overall my favorite professor at ucsb.,
AM 74,https://ucsbplat.com/curriculum/class/FALL%202025%2041970,Andrew Norris,5/10,A|A,. POL Senior seminar in political science.,"His classes are tough, but he is engaging and always willing to accommodate students for office hours. His lectures are so helpful and even though they're not mandatory, it's difficult to succeed without them. He is super self-deprecating but also clearly incredibly intelligent. Hard class but so rewarding.",
AM 74,https://ucsbplat.com/curriculum/class/FALL%202025%2020040,Jen Martin,144/144,A|A,"Very passionate about her lectures, but they weren't applicable. Her ability to pick TA's is awful, the worst i've had on campus. They're incompetent w/ superiority complexes, the way they are grading for lower div classes. Good luck getting your grades back until 2 days before final grades are due in gold, and the quarter is long over!",Your grade is based on a project that you work on the whole quarter but the intial proposal wasnt graded until week 6 so you only get 2 weeks until presentations. The lectures are mainly her reading from her notes. Its not hard to get a good grade but its painful.,
AM 80,https://ucsbplat.com/curriculum/class/FALL%202025%2053678,David Pellow,40/40,A|A,"If you have a chance to take David's class you are SO lucky. By far one of the best profs, he's super chill, offers extra credit, and gives extensions. He does field trips and brings in great guest lecturers. His material is actually current, relative to the real world, and important. There are so few black profs to look up to at UCSB. Love him!!!","Didn't assign a bunch of busy work, did not expect too much from us during this really crappy time. Super solid choice and seems like a nice guy. Very inspirational.",
AM 84,https://ucsbplat.com/curriculum/class/FALL%202025%2020511,Lori Pye,40/40,A|A,"Course explores the theories and practices of psychologists, educators, and others whose work is focused on the connections between ""inner"" human nature and ""outer"" nature within which humans experience themselves and the rest of the world.",You won't get much out of it if you don't choose to actively engage; it's heavy on self-reflection. I loved Dr. Pye's freeform style of lecture and how personal the class felt compared to others I've taken in ES. It's not everyone's cup of tea but I think anyone could benefit from taking it.,I received a bad grade solely on missing 4 classes. I got an A on all other assignments. Attendance is MANDATORY.
AM 86,https://ucsbplat.com/curriculum/class/FALL%202025%2041988,Julia Morse,0/15,A|A,"POL Political Science 197A-B-C is a three quarter sequence course with the final grade issued upon completion of 197C. Honors students, in three-quarter sequence of seminars, write original theses under close faculty supervision.","This class would not have been that hard and mentally draining if it weren't for the HORRIBLE TAs, this class drained me because the TA graded so harshly, was always late, had no clue what was going on, and was just rude to me.",
AM 99,https://ucsbplat.com/curriculum/class/FALL%202025%2019950,Peter Alagona,6/30,A|A,"Requires one hour per week of in-depth analysis and discussion of ""Environmental Studies"" with course instructor and completion of a related project.","You can tell that prof Alagona really loves teaching, which makes the class enjoyable",
ANTH 113,https://ucsbplat.com/curriculum/class/FALL%202025%2000471,Emiko Saldivar,0/35,A|A,"While I did find myself getting bored often (she would have students come up and present for over half the almost 3-hour class), when she did get up and speak, she had very quality input. Assignments were easy, you just had to DO them and the readings. Easy work, but attendance was mandatory!","Is really sweet and the material she assigns is pretty good (movies, books, news articles). She was a ridiculously easy grader who gave A's as long as you tried/showed thought. That said, the course was taught on zoom and she is NOT very tech savvy. Misposted assignments, lack of response to emails, out of date rubrics. Not amazing.","Compare the differences and similarities between indigenous peoples' mobilizations in the cases of Canada, USA, Ecuador, Chile, Guatemala, Bolivia and Mexico."
ANTH 124,https://ucsbplat.com/curriculum/class/FALL%202025%2064683,Casey Walsh,38/80,A,"There are 4 mini exams + 1 make-up exam if needed, and 2 easy projects.The mini exams are all mini essays and I am not really too sure what they are graded on, plus they are worth a big part of your grade.","There are 4 mini exams + 1 make-up exam if needed, and 2 easy projects.The mini exams are all mini essays and I am not really too sure what they are graded on, plus they are worth a big part of your grade.",Among the topics explored are: the commodity; accumulation; reproduction; class; peasants and capital; land and labor; hegemony.
ANTH 125,https://ucsbplat.com/curriculum/class/FALL%202025%2000497,Raquel Pacheco,40/40,A|A+,If I could take another class from her I would.,She helped to restore my faith in the anth department and she is humble in receiving feedback from students about the quality of the content we're learning.,If I could take another class from her I would.
ANTH 129,https://ucsbplat.com/curriculum/class/FALL%202025%2000521,Emiko Saldivar,0/30,A+|A,Was the easiest class i have ever taken!! you learn so many interesting things and also get to interact/ meet so many new people since she pushes you to talk to someone new every week. everything was so straightforward and she is a very nice grader!,"She's really like the most zen anthro professor ever. We used to meditate every 20ish minutes. She was super lax and let us take out own pace when it came to working on projects, and never gave strict deadlines. Only downfall is she's difficult to reach outside of class and does not give much feedback. But her style is unique and amazing.",Everything was so straightforward and she is a very nice grader!
ANTH 133,https://ucsbplat.com/curriculum/class/FALL%202025%2000539,Amber Vanderwarker,95/95,A+|A,"VanderwarkerProfessor Vanderwarker was so sweet! It was clear that she genuinely cares a lot about this subject. It was only graded off a midterm, final, and a mini research paper so definitely make sure you study for those tests, but don't sweat it too much as they were really easy if you just go to lecture.","Only three things are graded: midterm, paper, and final. You do have to put in the work to study if you are not familiar with ANTH and take this as an elective. The TA and professor were very helpful overall.","Overall, super fun class!"
ANTH 147,https://ucsbplat.com/curriculum/class/FALL%202025%2000547,Casey Walsh,0/40,A|A,"Graded by section attendance/participation (25%), ethnographic paper (5 pgs; 25%), in-class midterm essay (25%), and online final exam (25%). He does indeed have slides with three bullet points and spends much of the time talking, so it's not for everyone. Walsh is passionate + tries his best to make the material interesting, even if it gets dry.",Literally a white screen with 2-3 vague bullet points that mean nothing. Midterm was graded SO HARSH and the instructions were so confusing. Final was online and open note. Section was mandatory. Also 6 page paper that we were given zero help with. Would not recommend!,"An 8 slide lecture with three bullet points each can easily take the full hour 15. He seems very passionate but I just couldn't sit through the lectures. Graded on in class essay, online final, and a paper."
ANTH 152,https://ucsbplat.com/curriculum/class/FALL%202025%2064691,Jeffrey Hoelle,35/36,A-|A-,What turned me off was that the text for this class was written by him so we kinda just gave him a bonus when all the class bought it on Amazon,"Had fun assignments, like a film analysis. Gives study guides for tests. Very approachable and respects his students. I recommend this class!","Professor's lectures are interesting and his slides are useful, attendance is mandatory but only counts some of the iclickers so missing is not a big deal. 2 papers that are relatively easy."
ANTH 170,https://ucsbplat.com/curriculum/class/FALL%202025%2000570,David Lawson,57/100,A-|A-,"Emailing him outside of class he told me ""dont email me on Saturdays I don't work on weekends,"" we had a paper due on Sunday. No ruberic for assignments, and Killgalen marks off points for no reason, even when following instructions to a T. Ended with 93.7% and didn't round to an A or allow for EC, even tho syllabus mentions EC available. Just bad.","Is good at giving lectures, fairly funny but for people who struggle to understand the material, or try to ask for help in any way, good luck because you're better off figuring things out for yourself. He'll most likely tell you to talk to the TA or vaguely suggest to just try harder if you're not doing well on quiz's and tests.","All exams were open book and so were the weekly quizzes and there were not any trick questions; it was a pretty straightforward class. Graded by 2 essays, weekly quizzes, attendance, a midterm, and a final. It's an interesting class if you're in the bio anthropology major."
ANTH 178,https://ucsbplat.com/curriculum/class/FALL%202025%2000596,Amber Vanderwarker,57/100,A|A,"Was so sweet! It was clear that she genuinely cares a lot about this subject. It was only graded off a midterm, final, and a mini research paper so definitely make sure you study for those tests, but don't sweat it too much as they were really easy if you just go to lecture.","Only three things are graded: midterm, paper, and final. You do have to put in the work to study if you are not familiar with ANTH and take this as an elective. The TA and professor were very helpful overall.","Overall, super fun class!"
ANTH 183,https://ucsbplat.com/curriculum/class/FALL%202025%2000612,Amber Vanderwarker,0/15,Pass|Pass,"Was so sweet! It was clear that she genuinely cares a lot about this subject. It was only graded off a midterm, final, and a mini research paper so definitely make sure you study for those tests, but don't sweat it too much as they were really easy if you just go to lecture.","Only three things are graded: midterm, paper, and final. You do have to put in the work to study if you are not familiar with ANTH and take this as an elective. The TA and professor were very helpful overall.","Overall, super fun class!"
ANTH 189,https://ucsbplat.com/curriculum/class/FALL%202025%2064071,Sarah McClure,60/75,A,I loved this class and she did an amazing job! Definitely would take her again.,Attend every section since it's a huge chunk of your grade.,"She seems like she really knows what she's doing. The only reason I wouldn't take again is because I'm not all too fascinated by archaeology, but if you are looking for a professor who deeply cares about what they're teaching she is the professor for you. Definitely take her courses if you enjoy archaeology."
ANTH 201A,https://ucsbplat.com/curriculum/class/FALL%202025%2064105,Sarah McClure,6/10,A|A,I loved this class and she did an amazing job! Definitely would take her again.,Attend every section since it's a huge chunk of your grade.,"She seems like she really knows what she's doing. The only reason I wouldn't take again is because I'm not all too fascinated by archaeology, but if you are looking for a professor who deeply cares about what they're teaching she is the professor for you. Definitely take her courses if you enjoy archaeology."
ANTH 240A,https://ucsbplat.com/curriculum/class/FALL%202025%2064113,Raquel Pacheco,6/10,A|A,"Super kind prof!! It was my first time taking a course like this (with many readings and very cultural anthropology based) so I was nervous but she was so kind, thoughtful, and easy to talk too. I enjoyed the final paper and felt that it was not a hard class overall.","She's honestly a great professor. Just be mindful that she deducts points from your attendance grade if you're late to class! Your grade is based on group presentations, and they're on class readings. Overall a super caring professor who wants to hear your opinion on class readings!","Honestly, the projects aren't too bad if you read the material and communicate with partners. This class is graded on two creative assignments, a group presentation, group midterm, and group final. This class was really fun and I found myself not minding the group part."
