department,first_name,last_name,rmp_score,num_reviews
Mathematics,Matt,Porter,4.4,294
Mathematics,Peter,Garfield,3.8,221
Mathematics,Denis,Labutin,2.8,176
Mathematics,Rick,Ye,2.0,159
Mathematics,Stephen,Bigelow,3.4,122
Mathematics,Nathan,Schley,2.5,116
Mathematics,Carlos,Garcia,1.8,114
Mathematics,Gufong,Wei,2.3,112
Mathematics,Xianzhe,Dai,2.9,108
Mathematics,Adebisi,Agboola,2.2,83
Mathematics,Paul,Atzberger,2.6,54
Mathematics,Maribel,Bueno,3.5,54
Mathematics,Christopher,Ograin,4.3,54
Mathematics,Karel,Casteels,4.3,42
Mathematics,Jon,McCammond,4.5,30
Mathematics,XU,Yang,2.8,24
Mathematics,Zetian,Yan,3.2,24
Mathematics,Therese,Landry,3.2,18
Mathematics,Rusiru,Gambheera,3.5,15
Mathematics,Xin,Su,2.3,15
Mathematics,Katy,Craig,3.5,15
Mathematics,Davit,Harutyunyan,4.1,14
Mathematics,Yuedong,Wang,3.4,14
Mathematics,Jitendra,Rathore,4.8,12
Mathematics,Xiaolei,Zhao,3.7,12
Mathematics,Zheng,Liu,3.8,11
Mathematics,Rhea,Bakshi,3.8,8
Mathematics,Kelvin,Lam,3.8,5
Mathematics,Hanming,Zhou,3.5,4
Mathematics,Mingsong,Yan,5.0,4
Mathematics,Daryl,Cooper,4.0,985
Mathematics,Charles,Akemann,2.2,226
Mathematics,Gustavo,Ponce,2.5,107
Mathematics,Hector,Ceniceros,3.1,95
Mathematics,Darren,Long,3.5,87
Mathematics,Martin,Scharlemann,2.9,85
Mathematics,Mihai,Putinar,2.0,82
Mathematics,Jeffrey,Stopple,3.0,81
Mathematics,Ken,Goodearl,3.8,74
Mathematics,Elizabeth,Thoren,2.5,66
Mathematics,Bjorn,Birnir,2.3,62
Mathematics,Gunhee,Cho,3.4,60
Mathematics,Ebrahim,Ebrahim,3.7,57
Mathematics,Justin,Kelz,3.3,56
Mathematics,Azer,Akhmedov,2.7,56
Mathematics,Adil,Yaqub,3.0,52
Mathematics,Eleni,Panagiotou,2.4,52
Mathematics,Jea-Hyun,Park,3.1,51
Mathematics,Bill,Jacob,3.1,50
Mathematics,Birge,Huisgen-Zimmerman,4.1,49
Mathematics,Jiayin,Pan,3.4,49
Mathematics,Kyle,Chapman,2.2,47
Mathematics,Ken,Millett,2.8,46
Mathematics,Larry,Gerstein,2.3,46
Mathematics,Shahab,Karimi,4.1,44
Mathematics,Andreas,Malmendier,4.5,43
Mathematics,Ashwin,Tarikere,3.1,43
Mathematics,Derek,Smith,4.6,43
Mathematics,Marc,Becker,2.9,42
Mathematics,David,Morrison,1.8,40
Mathematics,Catherine,Pfaff,3.8,39
Mathematics,Bohan,Zhou,3.9,38
Mathematics,Zhirayr,Avetisyan,2.0,37
Mathematics,Jack,Miller,4.8,37
Mathematics,Helena,McGahagan,2.6,37
Mathematics,Guofang,Wei,1.9,35
Mathematics,Wenchuan,Tian,3.9,35
Mathematics,Sanjay,Kumar,4.7,33
Mathematics,Tom,Sideris,3.0,33
Mathematics,Alexandra,Chronopoulou,2.8,32
Mathematics,Benjamin,Sung,2.0,32
Mathematics,John,Helms,3.8,31
Mathematics,Shaya,Shakerian,4.7,30
Mathematics,Jeremy,Brightbill,4.5,30
Mathematics,Stephan,Paul,4.6,29
Mathematics,Raul,Rodriguez,2.5,29
Mathematics,Sookyung,Joo,3.1,29
Mathematics,Ryan,Ottman,3.5,29
Mathematics,James,Tener,4.4,29
Mathematics,Shoo,Seto,3.0,28
Mathematics,Viktor,Grigoryan,4.1,28
Mathematics,Yitang,Zhang,4.0,28
Mathematics,Eric,Chen,3.8,27
Mathematics,Claire,Levaillant,2.7,27
Mathematics,Douglas,Moore,2.4,26
Mathematics,Tiancong,Chen,3.8,26
Mathematics,Huachen,Chen,3.8,25
Mathematics,Lihui,Chai,2.2,25
Mathematics,Geunho,Lim,2.1,24
Mathematics,Christopher,Lopez,2.5,24
Mathematics,Francesc,Castella,4.5,24
Mathematics,Koratti,Sivakumar,1.8,24
Mathematics,Yugen,Shu,2.1,23
Mathematics,Fabio,Ricci,4.2,23
Mathematics,Chetan,Pahlajani,3.8,21
Mathematics,Jordan,Schettler,4.8,21
Mathematics,Sian,Fryer,4.4,19
Mathematics,Robert,Sulway,2.8,19
Mathematics,Nick,Bragman,4.5,17
Mathematics,Quyuan,Lin,4.8,17
Mathematics,Qing,Zhang,4.8,17
Mathematics,Julie,Rowlett,4.4,17
Mathematics,Michael,Landrigan,2.2,17
Mathematics,Ilesanmi,Adeboye,4.1,16
Mathematics,Robert,Sentinella,4.1,16
Mathematics,John,Kaminsky,3.2,15
Mathematics,Hailong,Guo,4.2,15
Mathematics,Dave,Morrison,2.0,15
Mathematics,Priyam,Patel,4.5,14
Mathematics,Elie,Abdo,4.9,14
Mathematics,War,Shah,3.5,13
Mathematics,Jingrun,Chen,3.7,13
Mathematics,Qiang,Guang,4.0,13
Mathematics,Ellie,Grano,2.8,13
Mathematics,Garo,Sarajian,2.2,12
Mathematics,Chris,Nowlin,3.4,12
Mathematics,Xin,Zhou,2.5,12
Mathematics,Fengrui,Yang,1.5,12
Mathematics,Eric,Samperton,3.3,11
Mathematics,Cristian,Esparza,4.3,11
Mathematics,Akos,Nagy,3.2,11
Mathematics,Ben,Coté,4.6,11
Mathematics,Jared,Kubler,2.2,10
Mathematics,Gabriela,Putinar,1.7,10
Mathematics,Brandon,Kerr,5.0,10
Mathematics,David,Hilbert,3.7,9
Mathematics,Zuhair,Mullath,4.8,9
Mathematics,Emille,Davie,2.4,9
Mathematics,Padraic,Bartlett,4.9,9
Mathematics,Troy,Kling,5.0,9
Mathematics,Melody,Molander,4.3,9
Mathematics,Pawel,Gladki,2.1,8
Mathematics,Sui,Tang,3.5,8
Mathematics,Andrew,Cotton-Clay,4.3,8
Mathematics,Peter,Merkx,3.7,8
Mathematics,Christian,Martinez-Esparza,4.5,8
Mathematics,Yuanqi,Wang,3.0,8
Mathematics,Alex,Dugas,4.1,7
Mathematics,Mychelle,Parker,4.4,7
Mathematics,Elise,Weir,4.3,7
Mathematics,Thomas,Howard,1.7,6
Mathematics,Tim,Speer,4.5,6
Mathematics,Roberto,Molinari,4.5,6
Mathematics,Baldvin,Einarsson,3.7,6
Mathematics,Rugang,Ye,1.9,6
Mathematics,Drew,Jaramillo,4.8,6
Mathematics,Ashlee,Kalauli,5.0,5
Mathematics,Tomas,Kababbe,4.8,5
Mathematics,Daniel,Barter,2.6,5
Mathematics,Nathan,Williams,3.6,5
Mathematics,Ruimeng,Hu,4.4,5
Mathematics,Fedya,Manin,4.2,5
Mathematics,Ashwin,Trisal,2.6,5
Mathematics,Nancy,Scherich,4.4,5
Mathematics,Shawn,Wirts,2.8,4
Mathematics,Andre,Rodrigues,1.3,4
Mathematics,Lee,Kennard,4.1,4
Mathematics,Daniel,Halmrast,5.0,4
Mathematics,Brittany,Erickson,4.7,4
Mathematics,Samuel,Ballas,3.1,4
Mathematics,Hermon,Fonseca,1.0,4
Mathematics,Amanda,Curtis,4.0,3
Mathematics,Claire,Murphy,2.7,3
Mathematics,Megan,Elcheikhali,4.7,3
Mathematics,Grace,Wu,4.7,3
Mathematics,Leslie,Mavrakis,4.7,3
Mathematics,Kevin,Tian,2.7,3
Mathematics,Charles,Martin,1.2,3
Mathematics,carlos,cervera,1.0,3
Mathematics,Hyun-Jung,Kim,3.0,2
Mathematics,Denis,Lebutin,5.0,2
Mathematics,Garett,Johnson,1.5,2
Mathematics,Chris,Dare,5.0,2
Mathematics,ALONSO,RODRIG,3.5,2
Mathematics,Kyle,Hansen,4.5,2
Mathematics,Nina,Jensen,5.0,2
Mathematics,Ethan,Robinett,5.0,2
Mathematics,Michael,Zshornack,5.0,1
