department,first_name,last_name,rmp_score,num_reviews,profile_url
Mathematics,Matt,Porter,4.4,299,https://ucsbplat.com/instructor/VGVhY2hlci0xODU3NTQ2
Mathematics,Peter,Garfield,3.8,227,https://ucsbplat.com/instructor/VGVhY2hlci0yMTg0OTcy
Mathematics,Nathan,Schley,2.6,119,https://ucsbplat.com/instructor/VGVhY2hlci0xOTg0MDEx
Mathematics,Maribel,Bueno,3.5,54,https://ucsbplat.com/instructor/VGVhY2hlci0xMDM4Mzgw
Mathematics,Christopher,Ograin,4.3,54,https://ucsbplat.com/instructor/VGVhY2hlci0xNTAzNDQ4
Mathematics,Karel,Casteels,4.2,43,https://ucsbplat.com/instructor/VGVhY2hlci0xNTA0OTI3
Mathematics,Zetian,Yan,3.1,32,https://ucsbplat.com/instructor/VGVhY2hlci0yOTM0NjI4
Mathematics,Davit,Harutyunyan,2.9,24,https://ucsbplat.com/instructor/VGVhY2hlci0yNTE4NzM4
Mathematics,XU,Yang,2.8,24,https://ucsbplat.com/instructor/VGVhY2hlci0xODYwMzAy
Mathematics,Therese,Landry,3.1,19,https://ucsbplat.com/instructor/VGVhY2hlci0yODg0MzU4
Mathematics,Jitendra,Rathore,4.8,17,https://ucsbplat.com/instructor/VGVhY2hlci0zMDQ2MDM4
Mathematics,Katy,Craig,3.3,16,https://ucsbplat.com/instructor/VGVhY2hlci0yMjcwODU4
Mathematics,Xin,Su,2.3,15,https://ucsbplat.com/instructor/VGVhY2hlci0zMDM0MjI4
Mathematics,Rusiru,Gambheera,3.5,15,https://ucsbplat.com/instructor/VGVhY2hlci0yOTM4Mzc2
Mathematics,Yuedong,Wang,3.4,14,https://ucsbplat.com/instructor/VGVhY2hlci0xNjk0Mzc4
Mathematics,Rhea,Bakshi,3.9,13,https://ucsbplat.com/instructor/VGVhY2hlci0zMDQyNzM2
Mathematics,Xiaolei,Zhao,3.7,12,https://ucsbplat.com/instructor/VGVhY2hlci0yNDU3MjQx
Mathematics,Zheng,Liu,3.8,11,https://ucsbplat.com/instructor/VGVhY2hlci0yNTMzNzg3
Mathematics,Kelvin,Lam,3.0,11,https://ucsbplat.com/instructor/VGVhY2hlci0zMDYxMjMw
Mathematics,Ruimeng,Hu,4.4,5,https://ucsbplat.com/instructor/VGVhY2hlci0yNjIxNzIy
Mathematics,Mingsong,Yan,5.0,5,https://ucsbplat.com/instructor/VGVhY2hlci0zMDU2NzM0
Mathematics,Andre,Rodrigues,1.3,4,https://ucsbplat.com/instructor/VGVhY2hlci0yNTIwNTA0
Mathematics,Hanming,Zhou,3.5,4,https://ucsbplat.com/instructor/VGVhY2hlci0yNTU3NTAw
Mathematics,Elizabeth,Thoren,2.5,66,https://ucsbplat.com/instructor/VGVhY2hlci0xNDIyMDE0
Mathematics,Gunhee,Cho,3.4,61,https://ucsbplat.com/instructor/VGVhY2hlci0yNzcyODUx
